path,weight,complexity,seed
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-1/Unpleasant__field_S235711126_St25_G7.5.123.png,-1,68.35,235711126
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-1/Unpleasant__field_S235711128_St25_G7.5.125.png,-1,70.18,235711128
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-1/Unpleasant__field_S235711122_St25_G7.5.119.png,-1,56.55,235711122
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-1/Unpleasant__field_S235711124_St25_G7.5.121.png,-1,64.88,235711124
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-1/Unpleasant__field_S235711120_St25_G7.5.117.png,-1,58.43,235711120
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-1/Unpleasant__field_S235711129_St25_G7.5.126.png,-1,53.3,235711129
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-1/Unpleasant__field_S235711127_St25_G7.5.124.png,-1,43.64,235711127
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant/Unpleasant_field_S235711126_St25_G7.5.113.png,0,64.88,235711126
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant/Unpleasant_field_S235711121_St25_G7.5.108.png,0,62.94,235711121
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant/Unpleasant_field_S235711127_St25_G7.5.114.png,0,43.2,235711127
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant/Unpleasant_field_S235711120_St25_G7.5.107.png,0,56.65,235711120
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant/Unpleasant_field_S235711124_St25_G7.5.111.png,0,45.2,235711124
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant/Unpleasant_field_S235711122_St25_G7.5.109.png,0,55.09,235711122
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant/Unpleasant_field_S235711129_St25_G7.5.116.png,0,52.23,235711129
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant/Unpleasant_field_S235711123_St25_G7.5.110.png,0,42.61,235711123
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant/Unpleasant_field_S235711125_St25_G7.5.112.png,0,58.66,235711125
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant/Unpleasant_field_S235711128_St25_G7.5.115.png,0,62.07,235711128
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+1/Unpleasant__field_S235711129_St25_G7.5.106.png,1,52.5,235711129
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+1/Unpleasant__field_S235711124_St25_G7.5.101.png,1,45.44,235711124
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+1/Unpleasant__field_S235711120_St25_G7.5.98.png,1,56.55,235711120
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+1/Unpleasant__field_S235711123_St25_G7.5.100.png,1,42.7,235711123
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+1/Unpleasant__field_S235711128_St25_G7.5.105.png,1,64.6,235711128
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+1/Unpleasant__field_S235711121_St25_G7.5.97.png,1,62.87,235711121
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+1/Unpleasant__field_S235711126_St25_G7.5.103.png,1,61.06,235711126
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+1/Unpleasant__field_S235711122_St25_G7.5.99.png,1,55.01,235711122
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+1/Unpleasant__field_S235711125_St25_G7.5.102.png,1,58.77,235711125
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+1/Unpleasant__field_S235711127_St25_G7.5.104.png,1,43.19,235711127
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+2/Unpleasant___field_S235711121_St25_G7.5.88.png,2,63.05,235711121
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+2/Unpleasant___field_S235711128_St25_G7.5.95.png,2,63.18,235711128
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+2/Unpleasant___field_S235711122_St25_G7.5.89.png,2,54.97,235711122
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+2/Unpleasant___field_S235711123_St25_G7.5.90.png,2,42.79,235711123
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+2/Unpleasant___field_S235711124_St25_G7.5.91.png,2,46.1,235711124
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+2/Unpleasant___field_S235711120_St25_G7.5.87.png,2,56.74,235711120
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+2/Unpleasant___field_S235711126_St25_G7.5.93.png,2,61.02,235711126
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+2/Unpleasant___field_S235711129_St25_G7.5.96.png,2,52.32,235711129
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+2/Unpleasant___field_S235711125_St25_G7.5.92.png,2,58.9,235711125
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+2/Unpleasant___field_S235711127_St25_G7.5.94.png,2,43.15,235711127
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+3/Unpleasant____field_S235711122_St25_G7.5.79.png,3,54.73,235711122
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+3/Unpleasant____field_S235711121_St25_G7.5.78.png,3,63.45,235711121
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+3/Unpleasant____field_S235711120_St25_G7.5.77.png,3,56.56,235711120
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+3/Unpleasant____field_S235711123_St25_G7.5.80.png,3,42.6,235711123
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+3/Unpleasant____field_S235711129_St25_G7.5.86.png,3,52.07,235711129
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+3/Unpleasant____field_S235711128_St25_G7.5.85.png,3,63.28,235711128
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+3/Unpleasant____field_S235711125_St25_G7.5.82.png,3,58.87,235711125
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+3/Unpleasant____field_S235711127_St25_G7.5.84.png,3,42.99,235711127
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+3/Unpleasant____field_S235711124_St25_G7.5.81.png,3,45.82,235711124
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+3/Unpleasant____field_S235711126_St25_G7.5.83.png,3,61.51,235711126
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+4/Unpleasant_____field_S235711128_St25_G7.5.75.png,4,63.15,235711128
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+4/Unpleasant_____field_S235711123_St25_G7.5.70.png,4,42.6,235711123
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+4/Unpleasant_____field_S235711125_St25_G7.5.72.png,4,58.89,235711125
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+4/Unpleasant_____field_S235711126_St25_G7.5.73.png,4,61.62,235711126
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+4/Unpleasant_____field_S235711129_St25_G7.5.76.png,4,51.15,235711129
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+4/Unpleasant_____field_S235711124_St25_G7.5.71.png,4,46.85,235711124
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+4/Unpleasant_____field_S235711122_St25_G7.5.69.png,4,54.49,235711122
