path,name,seed,group,size,compressed_path,compressed_size,complexity,valence2
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711141_St25_G7.5.29.png,unpleasant_p_29,235711141,unpleasant_p,423576,../images/Comprimida/4d42b54a8ca835b552bbcc91e87b9892953fc0e9ff403faac65079ee73996df2.png,400536,0.51,5
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711132_St25_G7.5.20.png,unpleasant_p_20,235711132,unpleasant_p,540182,../images/Comprimida/bbfff972f373efb5394da7a780684750b73891079c88937ce05ca54b75355bac.png,525271,0.67,-2
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711115_St25_G7.5.3.png,unpleasant_p_3,235711115,unpleasant_p,468857,../images/Comprimida/66c56de95f6fd8a52b01c1503b4ccd8d4c1b20ffe128897388bc4da74078998e.png,449920,0.57,-2
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711133_St25_G7.5.21.png,unpleasant_p_21,235711133,unpleasant_p,566155,../images/Comprimida/5dcacfbd826e4e92cdfa30ab7a3c6094d3803c15bd08f3b65549c49f6dc46059.png,548584,0.7,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711129_St25_G7.5.17.png,unpleasant_p_17,235711129,unpleasant_p,394030,../images/Comprimida/ef4f7b884b60871cea2dcd8c1076c68fadd8aa70b9d246d408d3b24f6f56f065.png,376253,0.48,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711123_St25_G7.5.11.png,unpleasant_p_11,235711123,unpleasant_p,342703,../images/Comprimida/eccfc894bc0f101d1b47135c124749612e3b0440b30aab709b74e18d362ed835.png,322704,0.41,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711113_St25_G7.5.1.png,unpleasant_p_1,235711113,unpleasant_p,537403,../images/Comprimida/7a58f9ada39714629c8377bc4b1477a9d9582fcb7544605e444f32cb05f01a5f.png,520087,0.66,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711134_St25_G7.5.22.png,unpleasant_p_22,235711134,unpleasant_p,400269,../images/Comprimida/7abe653561144cd447317226cac5fe42f383ae08b19d14a05a444dc62c653ba3.png,379946,0.48,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711114_St25_G7.5.2.png,unpleasant_p_2,235711114,unpleasant_p,506097,../images/Comprimida/1473f8af04998eb82be370fd8c62289dc47a01dcf11f626cbe983c218bd0559f.png,489656,0.62,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711138_St25_G7.5.26.png,unpleasant_p_26,235711138,unpleasant_p,382026,../images/Comprimida/40c1024345c164812011f50483355a8576c59646e1ff33e7093cd651024fbdac.png,363730,0.46,7
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711122_St25_G7.5.10.png,unpleasant_p_10,235711122,unpleasant_p,478274,../images/Comprimida/ac5a52c4a777e2666362657a8a7de8f3c94d09d4a600469c339d77113c8f52b9.png,466705,0.59,5
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711139_St25_G7.5.27.png,unpleasant_p_27,235711139,unpleasant_p,494738,../images/Comprimida/b7eb0ab2da5feb616f2fd9c7ea927f6a7f17ce8fb8133f1b751875ab81ce568c.png,473656,0.6,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711136_St25_G7.5.24.png,unpleasant_p_24,235711136,unpleasant_p,492506,../images/Comprimida/70f64a79d51bec7a9283a36d85270ebfa9fc7aababae6355872d28a3a689d6b9.png,474979,0.6,5
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711130_St25_G7.5.18.png,unpleasant_p_18,235711130,unpleasant_p,444526,../images/Comprimida/3fda12c8eeb71281b3e64e5974b3d9ad1ac51f3b93dee9e8ec8284b99275c3a0.png,430882,0.55,5
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711120_St25_G7.5.8.png,unpleasant_p_8,235711120,unpleasant_p,444747,../images/Comprimida/63a56f9c18d16d62c628a85fad846dffbbc7dca50fdfba0a4075229ec988afb2.png,425269,0.54,7
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711118_St25_G7.5.6.png,unpleasant_p_6,235711118,unpleasant_p,426727,../images/Comprimida/3fe65344e31b42aafdbab34e0e65902208d8642ce77e3b4f592294e8285b0d49.png,406354,0.52,-2
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711117_St25_G7.5.5.png,unpleasant_p_5,235711117,unpleasant_p,382100,../images/Comprimida/deece8f0009c2659a991860fbc2bcda347810bb90f30788e39882c316b365fec.png,362735,0.46,6
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711124_St25_G7.5.12.png,unpleasant_p_12,235711124,unpleasant_p,389327,../images/Comprimida/48d916ece65f533aaa1b5b662afc1848c07c07031577554dcc06b9b5b143442c.png,366984,0.47,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711131_St25_G7.5.19.png,unpleasant_p_19,235711131,unpleasant_p,446732,../images/Comprimida/113b4efbd4b9ec38a17e304ed9e7b1c6edd8f18e8f1745441ea7eabfe861d6bf.png,427041,0.54,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711137_St25_G7.5.25.png,unpleasant_p_25,235711137,unpleasant_p,440538,../images/Comprimida/d0f4e68a161cf79b94c73af28c92cc7476d4775689eb31c92adeb7667f17b8f1.png,419838,0.53,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (+3)/Unpleasant____landscape_S235711128_St25_G7.5.16.png,unpleasant_p_16,235711128,unpleasant_p,511504,../images/Comprimida/f7366e75bc952e0835cffd9bf53e62b0e9a06a467362d9ab1673cd01ac814b32.png,494341,0.63,-2
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711126_St25_G7.5.104.png,pleasant_n_14,235711126,pleasant_n,459134,../images/Comprimida/aab54f8f58b89c906bd66f2b2322cac483a7d35c77fb89f8ee883c5a8b05f3e6.png,440094,0.56,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711135_St25_G7.5.113.png,pleasant_n_23,235711135,pleasant_n,483894,../images/Comprimida/d57f8df76231dd30a365544688e41ff88da7576aa179c3ca85fe83f98da373fa.png,470384,0.6,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711127_St25_G7.5.105.png,pleasant_n_15,235711127,pleasant_n,442580,../images/Comprimida/262886041eb73031795d04195ffd5fd3f1e515f818b8787961c7ad562b9a8e13.png,427791,0.54,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711131_St25_G7.5.109.png,pleasant_n_19,235711131,pleasant_n,477010,../images/Comprimida/e436453b5f8b2940e57dd7911d3b8227f1d56098dd59c1fa95c6a9b3475f3ad0.png,459343,0.58,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711129_St25_G7.5.107.png,pleasant_n_17,235711129,pleasant_n,436954,../images/Comprimida/51461413787ba7c4d437aa8481e2ed9d646332487d1dcf70ccfbd269f79ae7f8.png,422229,0.54,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711121_St25_G7.5.99.png,pleasant_n_9,235711121,pleasant_n,444212,../images/Comprimida/55870668914c87789adae52c783ea3e864184a54d54ef69fb6b3ac2eca8eb73f.png,426326,0.54,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711139_St25_G7.5.117.png,pleasant_n_27,235711139,pleasant_n,520879,../images/Comprimida/39f02bde013854651bc699856fdd366f3a5e3b99bf5d08a35bb7c1ca9aa2ec67.png,501847,0.64,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711138_St25_G7.5.116.png,pleasant_n_26,235711138,pleasant_n,450643,../images/Comprimida/4f06527f710f0d79b1ea9be0b6a58d92c4a91476907e7bbed27a8065ba45d785.png,435594,0.55,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711116_St25_G7.5.94.png,pleasant_n_4,235711116,pleasant_n,491764,../images/Comprimida/607b781e1da7e6bdafcd5158b60c32b680bcba571b24c93e3575f9b66e7ca7c2.png,478393,0.61,7
