path,weight,complexity,seed
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-1/Pleasant__landscape_S23571129_St25_G7.5.png,-1,49.61,23571129
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-1/Pleasant__landscape_S23571122_St25_G7.5.png,-1,63.54,23571122
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-1/Pleasant__landscape_S23571120_St25_G7.5.png,-1,54.65,23571120
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-1/Pleasant__landscape_S23571127_St25_G7.5.png,-1,54.16,23571127
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-1/Pleasant__landscape_S23571123_St25_G7.5.png,-1,58.12,23571123
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-1/Pleasant__landscape_S23571121_St25_G7.5.png,-1,56.44,23571121
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant/Pleasant_landscape_S23571122_St25_G7.5.png,0,63.21,23571122
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant/Pleasant_landscape_S23571128_St25_G7.5.png,0,51.52,23571128
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant/Pleasant_landscape_S23571129_St25_G7.5.png,0,49.69,23571129
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant/Pleasant_landscape_S23571126_St25_G7.5.png,0,64.66,23571126
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant/Pleasant_landscape_S23571124_St25_G7.5.png,0,59.49,23571124
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant/Pleasant_landscape_S23571123_St25_G7.5.png,0,58.38,23571123
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant/Pleasant_landscape_S23571125_St25_G7.5.png,0,56.15,23571125
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant/Pleasant_landscape_S23571120_St25_G7.5.png,0,54.61,23571120
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant/Pleasant_landscape_S23571121_St25_G7.5.png,0,56.02,23571121
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant/Pleasant_landscape_S23571127_St25_G7.5.png,0,53.88,23571127
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+1/Pleasant__landscape_S23571121_St25_G7.5.png,1,55.95,23571121
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+1/Pleasant__landscape_S23571125_St25_G7.5.png,1,56.11,23571125
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+1/Pleasant__landscape_S23571128_St25_G7.5.png,1,51.52,23571128
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+1/Pleasant__landscape_S23571124_St25_G7.5.png,1,59.38,23571124
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+1/Pleasant__landscape_S23571126_St25_G7.5.png,1,64.58,23571126
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+1/Pleasant__landscape_S23571122_St25_G7.5.png,1,63.01,23571122
